positive,y_true
0.09621213,0
0.5319081,0
0.011523141,0
0.014398959,0
0.009617374,0
0.09310744,0
0.17600739,0
0.04794229,0
0.007921736,0
0.14258459,0
0.017683566,0
0.48846495,0
0.034068484,0
0.02154256,0
0.058962226,0
0.038791046,0
0.17325838,0
0.21221676,0
0.124298334,0
0.009336783,0
0.2093249,0
0.13407952,0
0.007924101,0
0.18153988,0
0.03405781,0
0.25536385,0
0.007186793,0
0.073313475,0
0.49102396,0
0.5188105,0
0.007469052,0
0.009556524,0
0.005977618,0
0.33380255,0
0.48636875,0
0.1940875,0
0.023577824,0
0.023933105,0
0.014725972,0
0.008466745,0
0.27979323,0
0.025485385,0
0.49120337,0
0.010984026,0
0.5459169,0
0.007921736,0
0.029306343,0
0.12646148,0
0.054944087,0
0.044811398,0
0.018488644,0
0.3907491,0
0.09497936,0
0.6146892,0
0.045077756,0
0.17446034,0
0.010691104,0
0.006710528,0
0.16469017,0
0.23888949,0
0.037446205,0
0.02635011,0
0.04899609,0
0.18066256,0
0.3041301,0
0.020947654,0
0.033335496,0
0.106664255,0
0.007469052,0
0.007469052,0
0.014482385,0
0.007300971,0
0.014742238,0
0.007469052,0
0.005961167,0
0.10592999,0
0.03331495,0
0.010719971,0
0.033835102,0
0.03814097,0
0.086175166,0
0.07959849,0
0.27495036,0
0.51586634,0
0.007469052,0
0.013508738,0
0.14151408,0
0.101225734,0
0.007469052,0
0.007921736,0
0.107079916,0
0.033069104,0
0.006539197,0
0.00843776,0
0.032547496,0
0.044764638,0
0.0743186,0
0.019480597,0
0.77498263,0
0.578374,0
0.098656684,0
0.6715207,0
0.16807635,0
0.48496228,0
0.007469052,0
0.007469052,0
0.6383013,0
0.010032809,0
0.05686982,0
0.65009975,0
0.6755434,0
0.64780426,0
0.046749946,0
0.12956323,0
0.007924101,0
0.33412662,0
0.1437903,0
0.022343563,0
0.007278496,0
0.027148161,0
0.015680868,0
0.03267862,0
0.09160992,0
0.007921736,0
0.024886662,0
0.060318425,0
0.011213726,0
0.08700497,0
0.07494339,0
0.00843776,0
0.022356737,0
0.013967166,0
0.015616189,0
0.025020996,0
0.17682135,0
0.4876728,0
0.14528242,0
0.007469052,0
0.37689602,0
0.51515484,0
0.018516619,0
0.035915047,0
0.02449076,0
0.101872064,0
0.054635692,0
0.01939152,0
0.030995654,0
0.011631492,0
0.034591693,0
0.007469052,0
0.037706804,0
0.10247535,0
0.007469052,0
0.019564668,0
0.0951421,0
0.07242316,0
0.26719633,0
0.005961167,0
0.20154311,0
0.26205498,0
0.016860392,0
0.017113632,0
0.022452991,0
0.037753645,0
0.052011006,0
0.20019418,0
0.021649498,0
0.5085737,0
0.0704446,0
0.16435722,0
0.007921736,0
0.48582298,0
0.039573036,0
0.014748805,0
0.061633628,0
0.46677294,0
0.02425138,0
0.08190578,0
0.13281414,0
0.6414822,0
0.28788537,0
0.255825,0
0.3587494,0
0.11628363,0
0.12263803,0
0.009799331,0
0.022793958,0
0.018791165,0
0.119650885,0
0.006710528,0
0.014731674,0
0.055775005,0
0.02206957,0
0.04810616,0
0.19215408,0
0.41831765,0
0.040202316,0
0.21501783,0
0.5735926,0
0.12190845,0
0.014711781,0
0.19090575,0
0.09982296,0
0.06704953,0
0.043104514,0
0.01556071,0
0.07479034,0
0.3020948,0
0.007469052,0
0.4310263,0
0.057468917,0
0.013377641,0
0.0217947,0
0.38120964,0
0.24694788,0
0.49312782,0
0.061246093,0
0.2132732,0
0.012363751,0
0.24719803,0
0.021450184,0
0.05372138,0
0.015160047,0
0.19419606,0
0.007469052,0
0.08283333,0
0.03262295,0
0.007469052,0
0.28523096,0
0.03331495,0
0.02733958,0
0.28643534,0
0.29837754,0
0.34320644,0
0.36207998,0
0.018747833,0
0.6655741,0
0.010777209,0
0.15891358,0
0.007469052,0
0.011631492,0
0.015081502,0
0.010984026,0
0.0674781,0
0.59172,0
0.60619575,0
0.1737977,0
0.07168099,0
0.026147725,0
0.06315588,0
0.661875,0
0.027270587,0
0.039310835,0
0.5823282,0
0.018516619,0
0.041880008,0
0.030733222,0
0.011213726,0
0.013816042,0
0.012337995,0
0.11200203,0
0.36074424,0
0.20213272,0
0.5106076,0
0.13149814,0
0.5358781,0
0.47716716,0
0.014711781,0
0.1429375,0
0.022006629,0
0.014384694,0
0.11595272,0
0.007187086,0
0.007278496,0
0.011348214,0
0.14354733,0
0.008404131,0
0.05492229,0
0.007469052,0
0.009591385,0
0.006919657,0
0.3819919,0
0.032926295,0
0.2402359,0
0.02388405,0
0.011314875,0
0.010391771,0
0.42225358,0
0.03688138,0
0.09994415,0
0.08114193,0
0.114830315,0
0.005977618,0
0.02553584,0
0.007469052,0
0.48900518,0
0.08949471,0
0.20065145,0
0.30732635,0
0.13330701,0
0.2762078,0
0.021642556,0
0.27822828,0
0.11379136,0
0.45774642,0
0.005883224,0
0.49312782,0
0.6217486,0
0.013074045,0
0.011631492,0
0.007278496,0
0.007655623,0
0.56423914,0
0.005977618,0
0.057395685,0
0.021666467,0
0.3026261,0
0.04761339,0
0.007921736,0
0.007370889,0
0.32614973,0
0.038550936,0
0.017426401,0
0.007469052,0
0.007898868,0
0.011796022,0
